,Name,Age,Height_in_cms,Weight_in_kgs,BP,Attacking,Skill,Movement,Power,Mentality,Defending,Goalkeeping,ST,LW,CF,RW,CAM,LM,CM,RM,LWB,CDM,RWB,LB,CB,RB,GK,OVA
28,Zé Luís,29,182.88,79.2,ST,345,318,363,394,331,79,59,77,72,76,72,73,71,64,71,53,52,53,51,51,51,18,77
29,M. Aleksandrov,28,180.34,73.35000000000001,LM,293,322,364,313,229,175,53,63,67,65,67,65,67,63,67,63,59,63,61,54,61,16,68
30,F. Mwepu,20,180.34,69.3,ST,242,211,342,298,214,52,54,59,56,57,56,55,55,47,55,41,37,41,40,34,40,16,59
31,B. Garnica,24,167.64000000000001,55.35,RM,297,290,373,294,278,94,54,63,68,66,68,66,67,61,67,54,52,54,50,44,50,16,68
32,L. Muñoz,25,182.88,75.60000000000001,CB,151,154,188,151,190,125,68,36,43,36,43,44,43,48,43,54,52,54,55,57,55,21,60
33,D. Maldonado,21,182.88,80.55,CB,210,174,288,266,218,188,57,45,42,43,42,42,44,46,44,57,57,57,59,63,59,16,64
34,V. Rama,32,182.88,77.4,LM,264,314,360,325,231,61,47,59,64,62,64,63,64,56,64,47,43,47,43,36,43,15,65
35,T. Väyrynen,27,190.5,88.2,ST,273,241,267,318,236,88,64,61,53,57,53,54,51,50,51,41,44,41,41,44,41,17,61
36,I. Cissé,19,195.57999999999998,85.5,CB,214,190,264,249,197,177,58,41,40,39,40,41,43,45,43,54,54,54,56,60,56,15,60
37,L. Ihorst,20,187.96,79.2,ST,267,220,246,312,259,70,57,61,54,58,54,55,53,51,53,41,43,41,40,42,40,17,61
38,I. Sackey,26,190.5,87.3,CB,267,272,240,393,290,212,51,59,55,56,55,57,55,61,55,63,68,63,64,72,64,15,69
39,T. Nakazato,30,175.26,70.65,LB,226,246,300,249,251,152,54,46,51,49,51,51,53,53,53,54,54,54,53,51,53,15,55
40,N. Bustos,21,175.26,63.45,ST,337,347,396,359,292,93,61,74,74,74,74,73,73,66,73,56,53,56,53,47,53,19,74
41,G. Mandjeck,31,185.42,76.5,CDM,280,301,351,329,309,206,59,62,63,63,63,65,64,67,64,67,70,67,68,71,68,18,71
42,C. Neyra,25,170.18,60.300000000000004,LB,255,267,331,348,252,187,59,57,58,57,58,57,60,58,60,64,62,64,64,64,64,17,66
43,M. Suttner,33,177.8,72.45,LB,324,362,347,344,294,215,60,63,67,65,67,67,68,68,68,71,70,71,71,69,71,18,73
44,C. Reyna,33,177.8,70.65,CM,271,293,189,294,298,139,71,71,72,71,72,74,72,77,72,73,75,73,74,72,74,24,76
45,I. Botella,20,180.34,71.55,ST,275,228,309,314,251,44,48,63,57,59,57,56,55,49,55,38,38,38,37,37,37,14,64
46,A. Walongwa,25,182.88,80.55,CB,191,213,261,258,249,185,67,44,40,42,40,42,42,47,42,53,58,53,55,63,55,19,64
47,Rubén Díez,26,165.1,61.65,RM,287,333,370,285,296,63,53,60,66,64,66,64,65,59,65,50,46,50,46,37,46,15,66
48,O. Estupiñán,23,182.88,73.35000000000001,ST,303,303,338,358,231,64,51,69,63,66,63,62,60,54,60,43,42,43,42,42,42,15,69
49,I. Ouattara,19,182.88,73.35000000000001,ST,267,231,322,284,218,54,60,59,57,57,57,55,55,48,55,40,36,40,38,33,38,17,59
50,F. Acerbi,32,193.04,87.3,CB,258,334,277,371,320,259,53,60,56,60,56,62,60,71,60,73,81,73,75,83,75,19,83
51,S. Limbombe,29,167.64000000000001,70.65,RM,291,330,405,336,254,94,53,64,67,66,67,66,66,59,66,51,47,51,48,42,48,16,67
52,K. Thomas,23,177.8,75.60000000000001,ST,262,225,316,318,243,77,52,60,55,56,55,54,53,48,53,43,43,43,43,45,43,15,61
53,H. Villalba,25,172.72,74.25,LM,321,339,439,340,310,126,51,73,75,75,75,73,73,68,73,60,58,60,58,53,58,17,74
54,E. Hagen,20,187.96,69.3,CAM,236,268,301,263,240,142,45,53,56,56,56,57,57,57,57,53,53,53,52,48,52,15,57
55,Eric Botteghin,32,193.04,88.2,CB,213,215,197,337,243,223,69,47,42,44,42,45,45,53,45,58,67,58,61,73,61,20,73
56,T. Hübers,23,190.5,81.45,CB,241,250,289,291,265,207,61,53,52,53,52,54,55,57,55,61,64,61,63,68,63,17,68
57,Arthur,23,170.18,72.45,CM,352,396,387,366,382,225,55,75,80,80,80,83,80,84,80,78,81,78,76,74,76,19,84
58,Yun Suk Young,30,182.88,73.35000000000001,LB,299,299,359,339,313,192,58,64,64,64,64,64,65,63,65,65,64,65,65,65,65,17,67
59,P. Netzer,34,187.96,79.2,CB,271,256,236,284,270,196,45,54,51,53,51,55,53,59,53,58,63,58,59,65,59,15,65
60,A. Sánchez,23,167.64000000000001,69.3,CDM,218,231,372,246,264,160,42,51,56,54,56,56,58,57,58,60,60,60,59,57,59,14,61
61,Bruno,35,182.88,72.45,CM,319,379,231,308,374,226,51,67,66,70,66,72,66,74,66,65,74,65,65,72,65,17,76
62,Iñaki Álvarez,23,182.88,75.60000000000001,GK,57,71,161,186,84,34,320,19,15,17,15,17,17,19,17,17,20,17,17,19,17,62,63
63,N. Balogh,23,198.12,80.55,ST,320,320,299,297,277,81,37,66,67,66,67,66,65,60,65,50,49,50,48,46,48,13,67
64,Borja Sainz,19,177.8,74.25,RM,253,291,363,239,280,105,43,57,64,62,64,62,64,58,64,54,50,54,51,42,51,15,65
65,H. Ziyech,27,180.34,64.35000000000001,CAM,374,425,407,336,363,140,51,77,83,82,83,84,84,82,84,70,70,70,66,57,66,18,85
66,D. Musto,31,182.88,79.2,CDM,267,289,265,355,304,209,57,59,59,60,59,63,61,69,61,66,72,66,66,71,66,19,73
67,M. Vojvoda,25,185.42,80.55,RB,290,327,340,337,302,215,48,62,66,64,66,66,68,68,68,71,70,71,71,70,71,16,73
68,Elady,29,175.26,74.25,ST,333,321,325,334,295,110,46,69,68,68,68,67,67,62,67,54,52,54,52,49,52,15,68
69,F. Mayer,21,190.5,86.4,CB,202,184,236,263,223,194,44,43,39,40,39,39,41,42,41,52,53,52,55,61,55,13,62
70,S. Kersten,22,190.5,78.3,CB,226,234,286,320,219,199,48,51,48,49,48,50,50,54,50,58,63,58,60,65,60,15,65
71,Y. Kalley,19,180.34,62.550000000000004,LB,185,209,327,246,220,152,36,43,48,46,48,45,50,45,50,53,49,53,53,50,53,13,55
72,T. Cairney,29,185.42,83.25,CAM,351,379,354,328,327,176,46,71,74,74,74,76,74,75,74,67,69,67,65,62,65,17,76
73,B. Embolo,23,185.42,85.5,ST,352,340,383,388,336,106,45,78,76,77,76,75,76,71,76,61,60,61,59,56,59,17,78
74,Luis Paezinho,24,182.88,74.25,CB,247,214,297,273,237,203,81,45,44,43,44,44,45,47,45,57,59,57,60,65,60,21,65
75,F. Mesones,25,170.18,69.3,LB,217,225,330,251,226,150,43,45,49,46,49,47,51,49,51,55,53,55,55,52,55,13,57
76,Tete,20,175.26,72.45,CAM,305,315,383,336,252,76,43,67,74,73,74,74,74,68,74,58,54,58,53,42,53,16,75
77,J. Bizama,26,177.8,74.25,CB,256,263,337,326,271,202,47,57,60,58,60,59,62,61,62,66,65,66,66,67,66,14,68
78,F. Wadja,25,185.42,82.35000000000001,CB,262,274,331,341,298,196,42,55,57,56,57,58,61,62,61,66,67,66,67,68,67,14,68
79,Diego Farías,30,172.72,65.7,RW,335,344,417,306,278,102,38,71,75,74,75,74,73,66,73,56,51,56,53,45,53,15,71
80,N. Casale,21,190.5,79.2,CB,187,175,272,274,241,184,57,42,40,40,40,39,42,42,42,53,53,53,56,60,56,16,61
81,Vaná,25,193.04,79.2,GK,94,93,239,186,142,50,369,28,29,30,29,31,30,31,30,27,29,27,27,28,27,74,75
82,O. Skipp,19,177.8,69.3,CDM,252,289,320,286,301,197,41,55,60,60,60,62,62,65,62,65,67,65,64,64,64,14,68
83,R. Balbuena,20,175.26,71.55,RM,275,307,358,300,249,105,52,60,64,62,64,62,63,56,63,53,48,53,50,43,50,14,62
84,K. Iwashita,33,180.34,75.60000000000001,CB,211,173,230,262,213,192,40,43,39,40,39,41,40,45,40,52,56,52,54,63,54,14,63
85,R. Kharchouch,24,187.96,74.25,ST,292,251,309,334,236,65,51,66,61,63,61,60,59,53,59,43,41,43,41,40,41,16,66
86,T. Kehinde,22,177.8,74.25,RM,266,285,363,314,279,103,47,60,63,62,63,63,64,61,64,55,54,55,52,48,52,16,65
87,E. Soleri,19,193.04,74.25,ST,272,240,308,313,226,47,54,62,56,58,56,54,54,46,54,39,35,39,37,37,37,16,63
88,S. Skytte,23,190.5,84.15,CDM,288,296,303,356,311,185,45,64,62,64,62,64,63,65,63,62,66,62,62,66,62,15,65
89,E. Kaja,21,177.8,77.4,RM,250,258,339,303,255,142,68,54,59,56,59,57,59,54,59,55,52,55,54,51,54,18,58
90,M. Bauer,20,187.96,83.25,CB,199,174,278,269,200,187,58,41,38,38,38,38,41,44,41,53,54,53,56,61,56,17,61
91,B. Baggley,18,170.18,64.35000000000001,CAM,207,245,310,222,223,133,49,48,51,51,51,52,51,51,51,47,48,47,47,45,47,15,51
92,Kaíqundo Calado,24,182.88,76.5,RB,290,297,371,324,322,216,55,65,68,67,68,67,70,67,70,73,70,73,73,72,73,19,75
93,Alexis,33,182.88,74.25,CB,251,256,284,308,277,201,60,52,50,50,50,51,53,56,53,62,65,62,63,68,63,18,69
94,D. Miloc,29,177.8,73.35000000000001,CDM,257,282,328,347,302,200,57,58,61,61,61,63,64,67,64,67,69,67,67,67,67,18,67
95,V. Misidjan,26,172.72,69.3,RM,306,337,410,306,274,75,44,67,72,70,72,70,71,62,71,54,49,54,50,42,50,15,72
96,A. Öztürk,26,190.5,79.2,CB,225,249,254,357,223,193,47,50,46,48,46,49,47,54,47,56,61,56,58,64,58,15,65
97,K. Ayhan,25,182.88,83.25,CB,291,363,334,381,318,224,58,62,64,64,64,65,65,69,65,72,74,72,72,75,72,19,75
98,A. Annan,31,175.26,63.45,RB,260,276,378,326,297,197,45,56,58,57,58,58,60,59,60,65,64,65,65,64,65,15,65
99,T. Rowe,31,180.34,80.55,LWB,289,291,352,324,304,195,71,62,65,64,65,64,66,65,66,68,66,68,68,64,68,20,70
100,M. Bułka,20,198.12,89.10000000000001,GK,63,74,181,187,100,39,317,22,19,21,19,23,21,23,21,20,24,20,19,23,19,63,64
101,D. Kamada,23,180.34,71.55,CAM,334,370,385,336,303,106,44,72,76,76,76,76,76,70,76,59,56,59,55,47,55,15,76
102,D. Drogba,38,187.96,79.2,ST,370,376,327,388,363,83,49,79,73,76,73,73,72,68,72,55,55,55,53,53,53,18,81
103,Enaldo Praz,36,177.8,72.45,LB,297,290,350,319,321,226,47,59,64,62,64,64,66,68,66,72,72,72,73,72,73,17,75
104,R. Pereyra,29,182.88,76.5,LM,358,388,377,339,360,184,24,73,77,76,77,77,76,75,76,71,70,71,69,66,69,13,77
105,M. Bejarano,32,172.72,69.3,LB,234,247,344,287,222,203,63,49,53,50,53,51,57,56,57,67,64,67,67,64,67,19,69
106,M. Morozyuk,32,175.26,70.65,RB,315,351,392,317,282,214,49,60,68,66,68,69,70,71,70,74,70,74,72,63,72,18,74
107,F. Kaufmann,27,180.34,71.55,RM,287,304,394,352,299,157,46,64,68,66,68,65,69,63,69,67,61,67,65,58,65,15,70
108,N. Kijewski,24,175.26,73.35000000000001,LWB,242,309,358,323,261,189,37,53,59,56,59,58,62,61,62,67,64,67,66,63,66,13,68
109,R. Sykes,21,195.57999999999998,72.45,CB,200,207,274,291,237,192,57,46,43,44,43,45,46,51,46,56,61,56,58,65,58,16,65
110,D. Palacios,20,170.18,64.35000000000001,LWB,236,257,371,268,282,204,42,52,62,58,62,60,65,62,65,69,66,69,68,64,68,14,70
111,D. Schmid,19,180.34,69.3,CM,248,349,320,305,257,131,45,54,58,58,58,61,62,63,62,57,57,57,55,50,55,13,62
112,L. Hakim,18,170.18,64.35000000000001,CAM,276,298,346,283,202,45,48,56,59,57,59,57,57,50,57,40,36,40,37,30,37,13,56
113,B. Kieliba,29,187.96,85.5,CB,201,174,263,270,244,180,58,42,37,39,37,40,41,48,41,53,59,53,56,62,56,17,62
114,P. Karlsson,34,182.88,80.55,CB,219,206,327,319,258,220,63,50,47,47,47,47,49,52,49,62,64,62,65,71,65,18,71
115,E. Zavaleta,27,185.42,83.25,CB,263,247,270,348,288,189,62,58,53,57,53,56,55,59,55,58,63,58,59,65,59,17,65
116,B. Mendy,25,185.42,84.15,LWB,309,350,372,369,352,236,47,69,74,73,74,74,76,75,76,80,77,80,79,77,79,17,81
117,A. McGeady,34,177.8,70.65,CAM,334,363,367,311,329,111,50,68,71,70,71,71,69,67,69,57,57,57,55,52,55,16,70
118,D. Ragatzu,28,172.72,67.5,ST,277,312,382,283,245,78,49,62,63,63,63,62,61,54,61,48,43,48,45,38,45,16,62
119,P. Rodríguez,30,170.18,59.4,LW,308,350,379,265,271,76,52,62,69,67,69,68,67,61,67,51,47,51,48,38,48,16,69
120,D. Fernández,19,180.34,73.35000000000001,CB,206,212,327,291,245,189,43,47,47,46,47,47,50,50,50,59,59,59,61,63,61,14,63
121,S. Moutoussamy,23,175.26,71.55,CAM,311,320,363,281,292,208,42,63,69,67,69,70,70,70,70,69,68,69,68,63,68,13,70
122,I. Cameron,19,190.5,77.4,ST,266,254,287,295,276,134,52,58,57,57,57,57,56,55,56,50,53,50,50,54,50,15,57
123,B. Fomba,20,185.42,74.25,CB,151,116,298,291,197,170,55,37,34,35,34,36,37,41,37,49,51,49,52,57,52,17,57
124,F. Bustos B,24,167.64000000000001,65.7,RM,311,321,400,331,336,211,54,70,75,73,75,73,76,73,76,75,72,75,74,69,74,17,76
125,R. Cronvall,18,175.26,64.35000000000001,ST,225,202,326,270,203,45,51,54,51,52,51,49,49,43,49,36,33,36,35,30,35,14,54
126,C. Salomón,20,182.88,67.5,CB,190,184,264,242,192,160,48,40,40,39,40,41,43,44,43,49,51,49,50,53,50,13,53
127,J. Breitenbach,22,182.88,69.3,RB,201,222,364,232,233,169,55,46,54,51,54,52,55,50,55,59,54,59,59,55,59,15,61
128,J. Wilson,24,182.88,72.45,ST,291,277,346,309,245,67,62,63,61,62,61,61,61,55,61,46,43,46,44,39,44,17,63
129,Y. Verschaeren,18,172.72,62.550000000000004,CAM,305,369,382,316,281,114,50,65,72,70,72,72,71,68,71,58,56,58,54,45,54,16,72
130,R. Montolivo,33,180.34,75.60000000000001,CM,340,405,318,353,350,218,19,66,71,71,71,75,72,78,72,72,77,72,71,72,71,12,78
131,L. Jacot,19,190.5,84.15,GK,51,70,131,161,81,31,277,18,14,16,14,16,16,18,16,15,19,15,16,19,16,54,55
132,A. Jaakkola,33,193.04,87.3,GK,83,82,258,230,156,40,329,27,27,28,27,31,29,31,29,27,30,27,27,28,27,66,67
133,V. Dragomir,20,177.8,66.60000000000001,LM,318,333,362,330,301,165,53,66,67,67,67,67,68,66,68,64,61,64,63,58,63,17,67
134,C. Forsyth,31,187.96,82.35000000000001,LB,312,306,292,340,295,210,46,63,63,63,63,62,64,64,64,68,66,68,68,68,68,16,70
135,B. Alemán,30,175.26,78.3,CAM,338,376,349,364,356,195,44,70,71,71,71,72,71,72,71,69,70,69,68,68,68,14,72
136,O. Cissé,29,195.57999999999998,84.15,CB,256,259,222,344,285,178,46,56,52,54,52,55,55,59,55,58,63,58,58,65,58,14,64
137,M. Isla,32,175.26,74.25,RB,310,362,390,345,355,221,36,64,71,69,71,71,72,72,72,75,74,75,74,71,74,14,76
138,Moi Delgado,26,172.72,65.7,LWB,231,282,378,294,265,184,48,52,58,55,58,56,61,57,61,66,61,66,65,61,65,16,67
139,J. Laursen,25,180.34,75.60000000000001,LWB,264,281,350,301,283,200,63,59,64,62,64,62,66,62,66,67,64,67,66,64,66,17,68
140,A. Stewart,27,182.88,75.60000000000001,CB,199,197,305,265,247,201,54,43,45,43,45,46,48,50,48,59,61,59,61,67,61,17,67
141,I. Akinfeev,34,185.42,77.4,GK,83,91,270,241,121,44,393,30,29,30,29,31,30,29,30,27,27,27,27,27,27,78,80
142,Cani,34,180.34,74.25,CAM,335,362,320,337,322,131,51,69,72,72,72,72,71,69,71,60,59,60,56,52,56,17,73
143,D. Levitt,19,180.34,73.35000000000001,CAM,271,301,339,292,303,150,43,58,62,62,62,63,62,63,62,59,60,59,57,54,57,15,63
144,P. Adorno,24,182.88,79.2,CB,219,190,232,267,214,188,55,44,42,42,42,42,43,46,43,54,56,54,56,64,56,16,64
145,A. Struna,29,187.96,83.25,CB,250,278,300,372,269,204,41,53,54,53,54,55,57,59,57,65,65,65,65,69,65,14,69
146,N. Camacho,32,175.26,67.5,CAM,318,350,393,311,315,115,56,69,74,74,74,74,72,69,72,58,56,58,56,48,56,18,74
147,A. Jędrzejczyk,32,187.96,77.4,CB,300,271,332,348,282,206,54,60,59,58,59,58,62,61,62,68,68,68,69,72,69,17,72
148,E. Kachunga,28,177.8,73.35000000000001,RM,336,299,366,362,294,129,47,70,69,69,69,68,69,64,69,58,55,58,56,54,56,16,70
149,C. O'Keeffe,22,182.88,69.3,RWB,266,290,323,316,259,172,40,57,58,57,58,57,59,57,59,60,59,60,60,58,60,13,62
150,M. Mancosu,34,182.88,76.5,ST,296,259,327,326,263,60,51,63,61,62,61,59,58,51,58,43,40,43,41,39,41,16,64
151,H. White B,25,185.42,67.5,RB,243,232,360,296,253,176,56,54,57,55,57,55,58,54,58,61,57,61,61,59,61,15,63
152,M. Abdulrahman,31,172.72,59.4,CAM,308,334,362,284,317,154,49,62,67,65,67,67,67,66,67,62,62,62,60,57,60,17,66
153,P. Burner,24,170.18,64.35000000000001,RWB,315,313,365,336,302,218,59,65,68,66,68,67,69,68,69,72,69,72,71,69,71,17,73
154,O. Clarke,28,180.34,76.5,CDM,291,305,324,370,310,189,50,62,61,62,61,62,63,65,63,66,67,66,65,66,65,16,65
155,T. Nakagawa,27,160.02,56.7,RW,298,326,422,328,296,138,54,66,73,71,73,71,71,66,71,60,55,60,58,47,58,17,72
156,Javi Castellano,32,182.88,73.35000000000001,CDM,252,261,261,288,286,201,57,51,52,52,52,56,55,62,55,62,67,62,62,67,62,16,68
157,B. Clarke,32,170.18,63.45,ST,289,268,367,349,294,106,52,63,63,63,63,62,60,55,60,49,47,49,47,48,47,16,63
158,D. Ryan,20,182.88,74.25,CB,196,204,294,272,214,176,42,44,43,43,43,44,45,46,45,53,54,53,55,59,55,14,59
159,H. Choudhury,22,177.8,63.45,CB,259,294,349,318,321,234,52,58,60,60,60,62,62,65,62,69,73,69,71,75,71,17,74
160,R. Schoofs,26,177.8,68.4,CM,310,363,343,331,328,181,49,65,69,69,69,70,69,71,69,66,67,66,65,62,65,16,71
161,Paulo Otávio,25,175.26,67.5,LWB,288,314,409,297,289,208,49,61,70,67,70,68,70,66,70,72,67,72,71,63,71,17,73
162,A. Baroja,30,182.88,80.55,GK,85,99,237,224,150,52,324,29,28,30,28,32,30,33,30,28,30,28,27,27,27,65,66
163,M. Pato,27,177.8,69.3,ST,271,247,352,292,239,55,52,61,60,61,60,59,58,51,58,42,39,42,40,35,40,15,61
164,R. Zuijderwijk,19,175.26,64.35000000000001,CAM,266,307,328,252,224,124,56,55,58,58,58,59,58,55,58,49,47,49,48,43,48,16,59
165,L. Daneels,22,172.72,73.35000000000001,RM,273,297,359,272,255,78,53,60,63,62,63,61,62,56,62,48,45,48,45,39,45,16,63
166,S. Omeonga,24,177.8,71.55,CAM,245,294,367,272,294,187,37,55,64,61,64,64,64,63,64,63,63,63,62,62,62,13,63
167,B. Hussein,20,175.26,69.3,CAM,275,292,333,309,279,163,46,59,64,63,64,65,65,65,65,60,61,60,59,56,59,14,65
168,L. Allan,21,187.96,69.3,ST,226,198,300,270,207,51,56,52,50,51,50,49,49,43,49,37,33,37,36,32,36,15,53
169,P. Gallese,30,187.96,78.3,GK,110,94,261,201,146,61,354,32,31,33,31,33,32,33,32,30,30,30,30,29,30,72,73
170,C. Ibargüen,23,180.34,78.3,ST,284,291,318,363,305,77,60,67,63,66,63,63,61,56,61,46,46,46,44,45,44,17,68
171,S. Jovetić,30,182.88,78.3,CF,382,380,351,346,317,93,40,77,77,78,77,78,75,71,75,56,55,56,53,49,53,16,77
172,S. Bouzian,19,182.88,78.3,GK,64,67,161,183,79,31,298,19,17,18,17,18,18,19,18,18,19,18,18,19,18,58,59
173,Andy,30,185.42,78.3,CDM,284,347,291,337,327,190,64,60,62,62,62,64,64,68,64,64,67,64,63,62,63,17,68
174,A. Koiki,20,187.96,80.55,LB,272,254,340,300,268,166,47,58,59,58,59,57,59,55,59,60,56,60,60,57,60,15,62
175,J. Lolley,27,177.8,71.55,RM,319,357,403,336,305,146,64,68,74,72,74,73,74,69,74,65,60,65,62,53,62,20,75
176,S. Lobotka,25,170.18,63.45,CM,304,359,355,350,330,213,60,66,73,72,73,75,74,78,74,74,75,74,72,68,72,18,78
177,E. Orzuza,30,172.72,72.45,CM,226,247,297,299,260,143,43,52,54,55,54,57,55,59,55,55,58,55,54,54,54,14,59
178,A. Gogia,28,177.8,72.45,RW,305,345,378,339,262,76,58,65,69,68,69,68,69,62,69,53,49,53,48,40,48,17,69
179,Juanfran,33,180.34,70.65,RB,320,358,376,343,360,236,57,68,73,72,73,72,75,74,75,79,77,79,78,76,78,19,80
180,E. Room,31,187.96,80.55,GK,106,110,257,233,148,47,368,30,30,32,30,35,33,36,33,29,33,29,28,28,28,74,75
181,J. Moreno,20,193.04,83.25,GK,75,79,161,199,101,48,279,24,19,22,19,23,21,25,21,22,27,22,22,27,22,55,56
182,M. Prezioso,23,177.8,66.60000000000001,CM,258,273,313,277,275,154,50,55,56,57,56,58,58,59,58,56,56,56,55,53,55,16,60
183,M. Beier,17,182.88,69.3,ST,263,228,309,252,234,60,41,60,56,59,56,56,54,49,54,39,37,39,37,33,37,14,60
184,T. Deters,24,172.72,61.65,CM,207,219,345,276,252,145,54,48,52,51,52,53,54,55,54,54,55,54,53,51,53,16,55
185,D. Salazar,28,167.64000000000001,68.4,ST,289,212,316,330,215,62,57,62,57,58,57,55,55,49,55,43,38,43,42,37,42,16,62
186,D. Bilyaletdinov,31,185.42,76.5,CAM,333,348,302,354,295,128,54,67,67,68,67,68,67,66,67,56,57,56,54,52,54,16,69
187,D. Melo,26,177.8,75.60000000000001,GK,110,112,237,195,142,47,319,28,31,32,31,35,33,36,33,30,33,30,29,28,29,64,65
188,S. Kroon,27,182.88,72.45,RM,267,296,385,299,273,105,55,61,65,64,65,64,64,58,64,54,51,54,51,46,51,18,65
189,A. Argachá,33,177.8,74.25,LB,281,309,321,298,267,189,46,57,62,59,62,59,62,59,62,66,61,66,66,61,66,15,68
190,T. Davies,22,180.34,69.3,CM,312,352,345,331,345,209,56,68,71,72,71,73,73,75,73,71,74,71,70,70,70,18,75
191,R. Murray,28,170.18,69.3,RM,264,288,370,331,251,65,44,59,60,59,60,58,60,53,60,46,42,46,44,38,44,14,59
192,R. Jaadi,23,182.88,68.4,RW,288,319,350,325,241,111,64,60,64,62,64,63,64,59,64,53,50,53,51,45,51,17,64
193,D. Whitehall,24,185.42,73.35000000000001,ST,277,238,297,314,264,71,44,58,56,56,56,54,56,49,56,45,43,45,43,41,43,14,58
194,Moncayola,22,182.88,72.45,CM,308,322,342,324,330,212,50,66,69,69,69,71,70,73,70,71,73,71,70,68,70,16,74
195,P. Lasogga,26,187.96,87.3,ST,314,293,252,376,327,102,46,72,60,65,60,60,57,55,57,45,48,45,45,53,45,17,73
196,Leandro Silva,21,175.26,66.60000000000001,CAM,286,317,353,275,223,69,50,60,64,63,64,63,63,56,63,48,42,48,44,34,44,15,64
